"{113VdSwhq9kDhdQhKDNjUirudSHoJAZAR9}\t"	[1, 7126.886]
"{1A4hUrnJj1igfALMiRWNJQf8edEPHCJxfa}\t"	[172, 10000.0]
"{1A4xkK8WxEqHSLKQQ9YW3dsUhzHLXcM2wg}\t"	[173, 23154.0082512]
"{1A5D6nTn8AWpXj2FEWgmanfBv19cPFVQRG}\t"	[174, 5000.0]
"{1A5anhrMubyCP4nBbmoSuE3F4B4q98muiY}\t"	[175, 13969.231079]
"{1A5wea3q2uFxGCYVXWR96D1JZnEa339MD6}\t"	[176, 4557.52817]
"{1A6npxYoVVXvA63zjj9uFuaD4QxM1yxb78}\t"	[177, 4097.2648919]
"{1A7Bwx2XPYgMUt8CJV6fAqkb6y3HSn2cUC}\t"	[178, 4318.39821174]
"{1A7WLApH1X1UVfuzYsHAqzZSejVgss8LRs}\t"	[179, 5402.05117819]
"{1A9oZuv7YrWobkonnYzcW9iBG7s6ZyLXrY}\t"	[180, 27432.33773361]
"{1ABS7zUZP76NjNYs9DLoWnKfZFTR7WLrAM}\t"	[181, 20000.0]
"{1AF2BKmXR1JJRKJua1Ah9vSLTqhVYAC4va}\t"	[182, 4695.75980248]
"{1AF6H92Ack6hLLdZDtM9FpbxnypKszeq7k}\t"	[183, 4351.78885009]
"{1AGNJR4chpakqUnzUsb4FD2vwUtBfLDvTE}\t"	[184, 20000.0]
"{1AGbFkrQPuRHLSU3FNLpdkBvcXBuyZjJWn}\t"	[185, 7323.12048901]
"{1AH8KMDzg5jSe38AyMgxKhVSPCG3gC1YFx}\t"	[186, 4397.4296348]
"{1AHki5AbZYiz4fHkGSTVKN3T1Tv5PwZpnh}\t"	[187, 37421.09314115]
"{1AJzbBeZrLuGEnDVrgNCV76RbtSGF3w8cB}\t"	[188, 5800.0]
"{1AKBEUV1YwoBNgbEk7seZcUfeHmo8vgK1E}\t"	[189, 16561.97575569]
"{1AKJnPqYRjikugxQmEXGrsX31VDaoQCNkF}\t"	[190, 4555.76198172]
"{1ALqtL1jNrWW6LSHE7k25FsWGGMRJRrK8U}\t"	[191, 4643.6106]
"{1ANLHeMMVTPWXFueFDwZwFpXUcj5SipmAT}\t"	[192, 4675.89923448]
"{1APQG4Brk2qpduoCKMGUgHn7tGMLVeNhVV}\t"	[193, 4295.0]
"{1AQecMZgiHoynEk6nvLz83TXDhFazgpoRm}\t"	[194, 6705.0]
"{1ARhojx54advhJKp5TnaJJsJ4nNtLcKhu1}\t"	[195, 4997.99]
"{1ARu87jS2XNR8t6FQ2xa5uRXCNgJy2CuU5}\t"	[196, 10000.0]
"{1ASgqmCELmRGaqUiywVC4badvEVqovNr5H}\t"	[197, 4840.0]
"{1ATSH8diARfvxV6gmidgLVxitmFVNTr9py}\t"	[198, 4890.0]
"{1ATkR2UoG3TvfSTFWjRviy3nrBFYYnx69H}\t"	[199, 7135.6120517]
"{1AUZ4zJo9fsopu1hVJEnPMLcqt6NqTKq61}\t"	[200, 6000.0]
"{1AVTrLtj5Xk6QaihJihrxqQzLbmLshYUwe}\t"	[201, 4021.51706117]
"{1AWdpAQVLvNuHuM2mRMqW52WG563zkatAR}\t"	[202, 9624.96790926]
"{1AWvvRUvMX1TenwvrxMd1waUrRdux8wvvQ}\t"	[203, 4694.62145428]
"{1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6}\t"	[204, 6511.96]
"{1AYUme8kmHvVVq3WXsXwdWQdDNHxo6xpaX}\t"	[205, 5313.23677454]
"{1AYV4H46rKp8ewgmfkEZg37jWTna1AjXBg}\t"	[206, 25589.48470361]
"{1AYY5pmP8a3i8eMzJgAFKGq9ZTybYnGQrU}\t"	[207, 17913.0]
"{1AYp9qWiVY3wQZLWKomHd5yqGCSvFuAWRp}\t"	[208, 5000.0]
"{1AYtnRppWM7tWQaVLpm7TvcHKrjKxgCRvX}\t"	[209, 400000.0]
"{1AaZTYiM8aCd5VeiDSJ52ozsBLMmoLYZ84}\t"	[1, 4757.96767003]
"{1AdDZedhURB167q9THBfBRuSKg9ABvu5Z4}\t"	[2, 6840.0]
"{1AeL8KPmGNuAnyvKn6SHmA2QX4FqwHGeC6}\t"	[3, 4674.06186488]
"{1AeUHecjxc2LBS8ymTSEKPhJecWrHAx8rB}\t"	[4, 6080.20392724]
"{1AgJusKvo2jHLMJYwjCBL5MSp7U1QGP7K8}\t"	[5, 6300.0]
"{1AgR9f8ZLsM4NBLX366RGv2bjv7P822AWa}\t"	[6, 5000.0]
"{1AgZDpuVRXFtd7ArFrHX8sTPUCaQgsCC1c}\t"	[7, 4550.562882]
"{1Agp6CZis1dL1uuS2aEiLggdT9hLc7eMSo}\t"	[8, 4000.0015]
"{1AhDocNNTNWFg5oiMtkeu5wUzFu5mrXfN4}\t"	[9, 10424.7585]
"{1AhJvuHVrUR4SqEcmyKRnzuCo1tSd7RYeP}\t"	[10, 4553.580638]
"{1AhqgXe9psaT1U16tLUb45ZwZQjEw2G4uG}\t"	[11, 7446.16620343]
"{1AivLG8FoHpWb8QHXTHfMWGZTuspdVGPbY}\t"	[12, 5000.0]
"{1AjP8fPDsdNWDBhbXUDoCxwWAc74mMYy48}\t"	[13, 5111.23701221]
"{1AjX7HLD3yC6RqzfkVjznZZJFJLi7m8iRc}\t"	[14, 7035.10265104]
"{1AjeFh5iX2bLYSiZq58xzDfouzx16emwEC}\t"	[15, 4694.12836098]
"{1Ak8RQbT33H6LaX5gLVMLLeYCjsnbjfkuQ}\t"	[16, 4966.82]
"{1AkN92Ef4xz1P4vSqcoxHykNEtvVEwRf2a}\t"	[17, 4601.75576]
"{1AkNiDn16ChGybkEwy42iocAg5qft31r4p}\t"	[18, 4055.0]
"{1AkVzNh6VHa7fPmfgVVxrxwWizVc41ym3}\t"	[19, 4115.29514045]
"{1AmNYBaJMHZksSf5RPNRENqjBxUcDoMyqm}\t"	[20, 4176.16385729]
"{1AmPmjKVv2sLVAZQ7mJ1M6FV9kKs6C8sbL}\t"	[21, 5000.0]
"{1AnV3Ny7GtfX5Dgx2DcBV34SRNMHpYCwvm}\t"	[22, 4820.0]
"{1AoMrik4uffUGeBs5jTWTFWqyAwW9J3Pav}\t"	[23, 5346.54908441]
"{1AoouPPUSqNjSPPQg9bPmfAqCbFPvdDHGY}\t"	[24, 6081.09144424]
"{1AosKDn4AhQ7zEewxjKMipppLuUk5bNMjj}\t"	[25, 4399.00939571]
"{1AqHQKzT7nttffemx1rXnmcy7CeQmPYNvS}\t"	[26, 10001.0]
"{1AqHpru7gEzAWLA6GUTCp51FiitAHfAjii}\t"	[27, 4252.8336215]
"{1AqSM9xuVeDcYjDLNGRBnpB9VRYhZtK1q1}\t"	[28, 4275.63152272]
"{1AqvKyQyW9avabztcg97ho87AuauX4uD5x}\t"	[29, 10000.0]
"{1Ari9npWnZicis9AUoa8Z1pQ2YZEC5SeMp}\t"	[30, 4095.61308008]
"{1ArypDq6tdrfD7unB8dmm9b7SD9NE9Yksb}\t"	[31, 9418.91]
"{1AtSzBDxxu18Mo2xB8aeBbyZ1KK7wDGpqD}\t"	[32, 25000.0]
"{1AvLeBnWbiBeCNHwLGtWEK9GSVug3RWWxt}\t"	[33, 4650.0]
"{1AvxyCx3WRJx8X71osgM5m3WnALAkFNBWP}\t"	[34, 4759.10129633]
"{1AwumVcu9rzkeWQ5kNjSsejioKSRofxe6A}\t"	[35, 10000.0]
"{1AxP9ex3rm2LpsdM5NZ4ed3qT4asVX6E72}\t"	[36, 25000.0]
"{1AyCf8N4RPYVZ7XoBce44zX96VHzCqx6Rv}\t"	[37, 4267.6678491]
"{1AyMZt5ZtYFnTbu39wjdXNsEFx3JBjFvit}\t"	[38, 45218.177]
"{1AyeFdJxNnbzg4QZMbJ3dpAYmVk6oVShFx}\t"	[39, 7471.60830244]
"{1B1QnrLSm6edKNkp1yHKj4qt1RCzZ4mvEU}\t"	[40, 20589.5999]
"{1B21jFgZyTXcLcetxgqjiyy7orovNUkqfr}\t"	[41, 7016.29237007]
"{1B2FpgHSrwvhM56yUNZBzDpGmBofdySFvQ}\t"	[42, 5693.35009999]
"{1B3FyNE5Y17DNsLeTjudqGraF6fknYUgYY}\t"	[43, 4255.75863353]
"{1B4CtBXpicnMNWVxXgC3pJkkvLaHmfDpVf}\t"	[44, 6196.27]
"{1B5M3V496tagRRrqoENeLnH4s9VLRXQxkC}\t"	[45, 6254.9041443]
"{1B6XgcUE6m3quH33PV6Cw886ooYiAQ1cVL}\t"	[46, 15000.0]
"{1B6XwwpvcGNPG8gz6E1iM4q66yhiWS1Zm}\t"	[47, 6506.92639559]
"{1B6j22AtgZkAVJcMnVSPM8BFYNuTp3zPuu}\t"	[48, 20146.75583163]
"{1B7dzNqcU2MVqBRzxgpce6NN3iVrFSeLj7}\t"	[49, 4897.28224]
"{1B8KjCoUUwgsjXN8saQBfp5iCtLNx6NzCZ}\t"	[50, 28883.519]
"{1BASfHfaxhR3tb1HpHqiLBkSxPnc4A7AYn}\t"	[51, 4038.8488]
"{1BAovCRA1zoDPnpJ3WcGFP9eXnempqJ6V}\t"	[52, 6966.66056539]
"{1BBqfi2npe7B6zyRCaC83u7PXWAvC69pbd}\t"	[53, 5681.44374839]
"{1BC85L1Vo2PAjrY9EEbo6rrTrk2i31cVDK}\t"	[54, 9988.0]
"{1BEE1sRkvfPFtPoZ5cBXCAedumkQLpE4cA}\t"	[55, 4999.99]
"{1BG5vHJCVRFdpnubXKxdCysJfQnPYgtiUF}\t"	[56, 5300.0]
"{1BHpDtUhSWoSUhvpJ1WF8joRixjjwkpMr8}\t"	[57, 5000.0]
"{1BJBmvS6o4mXhYW3LV2XdpUtPvhE62eNxA}\t"	[58, 5551.12]
"{1BJhiTgmfnRQkHJC3dT8kLkscVYinEFavg}\t"	[59, 4545.0]
"{1BKG91QynC9MPtkfkPne3BZCyGJr35WdtR}\t"	[60, 42140.439321]
"{1BLDKJW6FcnLB5XMi8FXx5WfEsRVEqUwFH}\t"	[61, 4480.0]
"{1BLJYnqxRqtC8DoD9iNxxz2GYt2drNei1z}\t"	[62, 7103.57019056]
"{1BMTtbHZLVXD2YHwXtjrarEj85vad976Xr}\t"	[63, 10000.0]
"{1BNS3RN9nzGraVz7YGJNmVRrnZbTTJUifk}\t"	[64, 12246.98937268]
"{1BNXYLg46xigx5cDsZraWCRpA7k5kLrfYE}\t"	[65, 7000.0]
"{1BNZxywLJNkBAivqRZfvVGSnLf6JdcefXr}\t"	[66, 6459.55705531]
"{1BQ5ZMrpd3UZJuvuKgwyypuBCkEjBWZnDf}\t"	[67, 4207.09387989]
"{1BQg7VnGbZubSXZf7CYtJyzmzrLb89bNCJ}\t"	[68, 9000.0]
"{1BRL4uQ7pH8HHCUpybeEjZWZWquM49ywV1}\t"	[69, 14805.31368496]
"{1BRwE3HUY6UWZAsvgTMzR3se7scgjymAP6}\t"	[70, 16748.346011]
"{1BSFx7Usze1NN3FbxpuJczdWWq6Hxt7FXP}\t"	[71, 7312.39694597]
"{1BTTnCWYrtguQ8JagY5dh3ySMepSReDvHR}\t"	[72, 4851.93878426]
"{1BU99vGKZn6egSSQi1rdNRfCmQTQzkV62y}\t"	[73, 4010.5748895]
"{1BUcLtqxU7RYkmHYo3qLZjJrErXFYkesAx}\t"	[74, 4708.84803789]
"{1BVexP6AD9aBCySjDaVo1QQTFNzCLKsWpW}\t"	[75, 4560.57163461]
"{1BYC2neodfRRbnpT3pYkmXyHec3qsctPbq}\t"	[76, 8104.61435948]
"{1BYnLBfs4vJFseiUfE62XxSiXJsHw6K4ZX}\t"	[77, 7885.54]
"{1BZuCPRhic1raqcwbyRPHPzNuRtHj61zFh}\t"	[78, 4956.15237282]
"{1BcVXgFMxKBC7ME6ZtU25ShdALLZqscemi}\t"	[79, 6381.4]
"{1BcZHrTSB8swZHrPyETNMAei7nATpDzCw3}\t"	[80, 43887.4976232]
"{1BdswcPxD48i77iwuNQFD37faTrKs355HL}\t"	[81, 5000.0]
"{1BiXcuuAto7PPjLieP3UgMrjeB6UGBvDGy}\t"	[82, 6018.0974291]
"{1BinWuqbrwWZ4gkviF8kLGsrdiSStdPRcd}\t"	[83, 4923.98425288]
"{1BjNk4BD5edQ4NotfUHwAvmqWDVgJV8Hcs}\t"	[84, 11233.0]
"{1BjdL2wggamJxQQDWckBMSUQtsig5i5Duu}\t"	[85, 11268.0136603]
"{1BkBKuoeCShY6xkxVdggcU9M59rsfeHL5Q}\t"	[86, 4703.95618]
"{1BmaNkHffFsbSRttPsSmQAWNLV3FkzYWoh}\t"	[87, 8900.0]
"{1BmnHbr6wj4AUAqG12qGJ3Rj2LAWYDbPos}\t"	[88, 11972.306129]
"{1BpwQYGSMwkanKGv4Eba3LzrPy8AYmmH3i}\t"	[89, 5000.0]
"{1BqDa3LHhNjJnYKLFc197KxzomuS7uJh3E}\t"	[90, 4793.1646152]
"{1BqMkgQLr7TmZE9hJQYuE7tQam5YGY3KA3}\t"	[91, 9066.61196915]
"{1Bqt2KLwU3HJSpEWcFq2GLg67NZDnEDwdG}\t"	[92, 6000.0]
"{1Brx84Vze67bHazhAUGPUFiaxqbbZUijry}\t"	[93, 5789.4323711]
"{1BtK4w7yuvtWEqmMJcjW6DqWuqXBWii2ZC}\t"	[94, 90000.0]
"{1Bu85HcX4Wd51hPczNWZB7dMcDMvfmVVM5}\t"	[95, 18020.067177]
"{1Bu8gdjQmaiozgqqz3TKFGcsHwCswKuHu}\t"	[96, 6564.26976477]
"{1BvVBkTCNqFW4eUoJMbu9GK6VXTiqepehi}\t"	[97, 4126.92177]
"{1Bvpet7PHmMqsDuaK2k3FrxNb981f5MjVY}\t"	[98, 5257.63860687]
"{1BwRFzJCCaj9Q27nKdsZSYVD21Ft44r5Tp}\t"	[99, 4118.74107726]
"{1BxBHUCuv1kGPYQPqmoLL7NXahxdoo9nuZ}\t"	[100, 6071.48827402]
"{1BxXjmVyQJMXfpTnq66r2X1FCHx1Yv2dCt}\t"	[101, 4929.21224254]
"{1ByDS8zuptvkL61XRPxVirb6poTq5gQMXw}\t"	[102, 7312.11943772]
"{1ByTAVibCKmocJNaL8GX2b1bGqc2gnd1gi}\t"	[103, 4089.51351598]
"{1Byj9KbCoK182A7havFKyeDdyM2zDm1Prg}\t"	[104, 8300.0]
"{1Bz74U7qJNSnEHrL6KGKsLUBsZgguHiRRk}\t"	[105, 14812.5855009]
"{1C13BzfKqWqPbXyLBDbjdfibc56xArymme}\t"	[106, 6527.12321739]
"{1C194xWc2UZB6BL9Z96rFK11wEZ6b4FKbE}\t"	[107, 4101.38641578]
"{1C1JdyTJS4T6zo1PZEJw4Tf5pyta6DMR23}\t"	[108, 5083.01]
"{1C2dGEZZcSjFyq1FGarMirXFaqiFJsZ9BR}\t"	[109, 4847.02713148]
"{1C4JYs2hrtvhDgju2F24QwFQWeRwYVqsU9}\t"	[110, 4859.81174426]
"{1C4Y2zAvw8wGWXnLnGwhiVumtMre4TxTeK}\t"	[111, 7251.27307478]
"{1C6Fx3KCLjd4nMSLgKZ2iGYEXYv5NXcSJ1}\t"	[112, 50000.0]
"{1C9Q3of6JVc4tFz3Dhwb5gjDiVfyYFc1D6}\t"	[113, 4219.5]
"{1CAdY3b6S1aBN3Bb41F7s89cC3gxDFLpyU}\t"	[114, 16000.0]
"{1CAdana5ScBA3C7B4wYqTeYQ5zf4wLrJHh}\t"	[115, 24325.30170361]
"{1CBJyNUKLrSWVE5LDnx2XkFPKs82GRtayn}\t"	[116, 30652.79390544]
"{1CBV4pu8oUp63jbHSGgcwi5xQdMa9RpK48}\t"	[117, 4129.58431217]
"{1CBXL5tBSqJZyyCTWVkrLiQsKm4KULBfPA}\t"	[118, 5050.0]
"{1CDLJnVmcdC2ZSPvBLF9rUjGgvnWfFjiGt}\t"	[119, 6000.0]
"{1CDs7B984EDRDMtzP6rVoMQRGu76qxeFVv}\t"	[120, 10000.0]
"{1CE1UVynyKLNWqziFM82UJ51FTGUT8q2EV}\t"	[121, 7990.0]
"{1CECVmb45KY3DYeu4gV2xxiATLw7VHva1B}\t"	[122, 4013.66054738]
"{1CEcrBYZ7wTqCMEL6RNgX4HEAvP6oZb1uL}\t"	[123, 4669.37205086]
"{1CExaMGzHFocg95uiLg4AFvjnT7M35RQ33}\t"	[124, 4857.15858426]
"{1CFL1oazXLBNqHhPfC3VU9uGdebAtk8rfR}\t"	[125, 6108.78326403]
"{1CGUJd1MS7ea3Rseia8g528FcWjXBCkazt}\t"	[126, 6079.62406918]
"{1CJYbwFZryUAoBSejyQqMbMWhsMucNxB6P}\t"	[127, 4491.57313]
"{1CKZqVbwffnXsy6nLaRvB5j5obj8d82iUn}\t"	[128, 12075.0530782]
"{1CKqfoppq72RPqmXtsZszxiK7mgazPjy2p}\t"	[129, 5111.61491521]
"{1CM7tqbXkGD5gKacFJRZx1QifBAkTg57Bu}\t"	[130, 4857.0]
"{1CMzMARQPYXJwL3JXcZgnL4Ps8KihdCZU8}\t"	[131, 4072.11957]
"{1CNZuSQkxmPR1Wa7jP9vy3nKQ9Uqmed46o}\t"	[132, 5584.37283983]
"{1CNfRM53e6Y6hCb6PZKy4i2WsFQRAQUSgp}\t"	[133, 26970.79067699]
"{1CPaziTqeEixPoSFtJxu74uDGbpEAotZom}\t"	[134, 10000.0]
"{1CPbXdVFRV5DFMUoym8fLLxXrYqcGiQs1B}\t"	[135, 5000.0]
"{1CQHPaT8euvfDxmhtQ32hWnMZkKy5t6via}\t"	[136, 6065.49]
"{1CR6y1FB1fLnQ3ejE3SeRw9RLVW5UvGGjZ}\t"	[137, 496667.47476174]
"{1CRR8LijusfWPdHjwPPQovXPKhXTw9EexE}\t"	[138, 4189.63641]
"{1CRhNJ8z3TPJLTTEURHEmUXyjdp5rkoHG6}\t"	[139, 6992.27240003]
"{1CRkNXUo2WaqAeJjzPiAWUPQeUjqcfLdr6}\t"	[140, 4856.26960291]
"{1CRo27MDXGtGsMeuGoupeLegtiVyAGPqgR}\t"	[141, 5634.87]
"{1CS5znbqtkA8N9EmavNJSRiiZkG5MGoFD9}\t"	[142, 7993.0]
"{1CSBQQDxY4pPQYmD3tq8NMWpcisd164SCu}\t"	[143, 5255.0]
"{1CSb5cu6mDZvsv2em35EEpjRw9Dv7v6HFm}\t"	[144, 5859.1194061]
"{1CTymhwUqEGzLwbRkaQdMYHzC4a5ac7FPQ}\t"	[145, 4725.0]
"{1CUa1itokhMtPnATVei6ehXNJzjvmDvDYR}\t"	[146, 4557.44750392]
"{1CVcFuyFWEwBYVxgCCGWcAtQFKzVXzhZ5H}\t"	[147, 11950.0]
"{1CX1JnqRLSqqjz2uh54iSv61GwH99i6DBg}\t"	[148, 4310.09471536]
"{1CYdgs3YcoLtf8g9ii7KiPjPMxUrfE6jg1}\t"	[149, 19000.0]
"{1CYhennXGfXdu2HJizdEBW6EsBCZ154WJQ}\t"	[150, 5000.0]
"{1CZDM6oTttND6WPdt3D6bydo7DYKzd9Qik}\t"	[151, 10000.0]
"{1CbyuDsixigHLDkSGciV3sCJo36dFRT3RG}\t"	[152, 5611.64487883]
"{1CcRih54HTA3ALczAKg5VNtUdXzyDyNHmT}\t"	[153, 4000.36907117]
"{1Ccu4oHYoRYhbzNZXXaGkoBsLuam8JsgHK}\t"	[154, 4926.00737557]
"{1Ce1yQnsBedTHaZLouQo4E9nsGT3avAn41}\t"	[155, 30000.0]
"{1CfDfCeshqKHVL6fmnsbixVLE1ukLYjrfB}\t"	[156, 4965.59311242]
"{1CfoGajDKynwB1JpaWq2tML4DDsP8VnuPy}\t"	[157, 10000.0]
"{1ChPxYhdSqRiigJdMfX4i7rpQxjY5B2txx}\t"	[158, 8992.0]
"{1ChTZWxBNL16QEzoT9Ah8PwyQBKLRHZLty}\t"	[159, 4816.05246577]
"{1ChZ5T9rLEJSM2wZoPVbL7KvcnBSAqgg7M}\t"	[160, 4703.7760678]
"{1CiHsAUAfT9FBzBQm1XpvRdEu1L3WkBepo}\t"	[161, 4138.69004974]
"{1Cj5T9rX9JpmkhBLNkGF4atGsKXLTCTzXQ}\t"	[162, 5383.5]
"{1CjF7f8X7w9vRHu7vpiLPZ3heYHmsUFqD4}\t"	[163, 10000.0]
"{1CkDXF8WJfq7gw5wiLXLsbbChmoWxeaTrR}\t"	[164, 5224.94483136]
"{1CmLAqyGk8SMAbnn5b8LmA6z1ihpNidGZF}\t"	[165, 10000.0]
"{1CmWRx8qHGGrSh5MBGiYDmMR4fumCUV7He}\t"	[166, 5898.53968]
"{1CnDeRMQhNuVcGH1gDpLDqRYoxX8a2VrUK}\t"	[167, 15053.93339199]
"{1CpAekFxLaSSCSjWPx7TDv74cRnQ13d7bR}\t"	[168, 16487.8195299]
"{1Cq9sucCmX7M82JDm6qYpgk7C3RYZYQC22}\t"	[169, 5000.0]
"{1CrfVfUPxBPaJGzTa16CXd69rsBsgWbcYH}\t"	[170, 4543.238182]
"{1CsHvj7gLK4x8Sn1aqjN6Sx7DU9nvo9fjd}\t"	[171, 6275.01]
"{1Csv2pCQfp187fpP3JjpreRCez1DSGJFxt}\t"	[172, 10000.0]
"{1CswnqcWjKDWrZqRPY6JQvE9vtmKLimsmZ}\t"	[173, 5000.0]
"{1CtAV6DUZnMrm6UYW8E986PzFCvXbBJrPt}\t"	[174, 10705.33787291]
"{1CumVd3NXcFwTsudmiFfLmiUrceGm3JWYL}\t"	[175, 9500.0]
"{1CuykSzXMVEQ6W6ewEM4qwEwM17QPRKpeL}\t"	[176, 5000.0]
"{1CvDPiVQrpCihHTZ99q3xtRo692kfoVCJ9}\t"	[177, 4143.63465613]
"{1Cy3GRWnWGUiCokoHEp6i2cEFkGvn2YY7A}\t"	[178, 7107.32930116]
"{1Cyx2kiv45izHqMWAwEWCP6XgG6vHAjWz6}\t"	[179, 4815.0]
"{1Czk3pQgo4RVtVqJv6TnBGN7gteL5bTgCG}\t"	[180, 4050.0]
"{1D1Lzdv6EACqyL2BkmUTzUTCjtGB8DNiyN}\t"	[181, 4880.16606]
"{1D2Df2oLPgdLsL5HtbD1TQAY5Z7Vm5ADYK}\t"	[182, 6780.99931771]
"{1D2uXNsw2kUizmbRWfsu2S8oC1cP5796pp}\t"	[183, 8064.52]
"{1D3R3hJh23P3gnnziTNEsrvzz5Qw5a93no}\t"	[184, 5000.0]
"{1D4GoMmrxjunhJHWN6QDTDeKj8Nm8yveqL}\t"	[185, 5802.51821236]
"{1D4sbjMiLYvQNwSKJLScyxLs1Anp3p1WUo}\t"	[186, 11000.0]
"{1D6CbeNWA9tac2Jv1F3ZEcqHoHSZ5QQhx4}\t"	[187, 4683.75216912]
"{1D7NUwTn8gD2UcYWCeAqYYQCLNntDUzCxZ}\t"	[188, 8774.96]
"{1D8zJKSPTQ9yEZnKRZHjeUB13NAU884hvh}\t"	[189, 4618.90223]
"{1DBTHzQSLhLepXrP4mziuiGGQvokKXcEcS}\t"	[190, 15000.0]
"{1DCt8C1jyDwcbQCTvrMYrSxXPatv3FJbMY}\t"	[191, 4559.24750392]
"{1DD2LnxQQZKjhdAgoEvrju58yrt2BYaLUw}\t"	[192, 10000.0]
"{1DDeQkjNDykgpiqNcMbuudRBJZvgzGBgN5}\t"	[193, 4663.06186488]
"{1DEKwBNCR49685knxEFnAofHGBpP1sFmax}\t"	[194, 5500.0]
"{1DFFHGrDMZ9XRvVqqzhQRzzhwai8RgNDhq}\t"	[195, 7000.0]
"{1DFPQac2fEqWuvWau9E551YJP9Zx7P1M9U}\t"	[196, 6512.62]
"{1DFWryk2fTstSt6fp3bMwoDVyiFWpVcj77}\t"	[197, 5000.0]
"{1DFX3PwMuiuQJTzAT4kJMpokfXoEquJBss}\t"	[198, 4970.80156601]
"{1DG55TmnDJeAJcpnjALDqTwB98zWaX97tT}\t"	[199, 4502.16665881]
"{1DJ8GNR2N8ZFyd5dsNYcA7qF7cqbRksAZZ}\t"	[200, 40000.0]
"{1DK9o9NBnqGtK29xXWitmXHAoNyUcjvRGV}\t"	[201, 5000.0]
"{1DKYYNpM5nX8BGfjbRWs1g7D3uSwkcRVLR}\t"	[202, 4060.62784]
"{1DKse1LorFFTjYN9iywfwHgwVag6D51sek}\t"	[203, 4857.000999]
"{1DLbh8GAVcbSmWtRN191bhD9Qmd4UXYbkU}\t"	[204, 6039.13057874]
"{1DLxxCcyonnUwsuSFe1ACEX46aTJyP7XHp}\t"	[205, 8000.0]
"{1DMPc7W4fNdVD8hChtYkBFf8Q1KsjHfW4R}\t"	[206, 4340.0]
"{1DNBsew8iKGJ2RW2TGtg3trJvGGaoXkLrW}\t"	[207, 4899.8710213]
"{1DNQbdFi6pF7KyWjJzh4RAo7xQjwygxQxT}\t"	[208, 4867.46892607]
"{1DPDxCEzaZixvTSrZABKtVfFJEhkFKcBcQ}\t"	[209, 10000.0]
"{1DQExgsxMhPktxQTytMXmWVvrGbSBzMkW8}\t"	[210, 6762.60167208]
"{1DQdZiWUG8akpJnXCak1fLeyxG7jT5DAPt}\t"	[211, 44975.931]
"{1DSQSZujNWvjHTTzuwjDgaHjMNKojSg3Nb}\t"	[212, 5283.01032861]
"{1DTLqxSAUHGwHvQp9WRfAdKuZbFxyA4QnP}\t"	[213, 5438.82799754]
"{1DTfsXmwZHGCswh6DuCGPF9aWbvieyWi7Z}\t"	[214, 4000.95387534]
"{1DU1qZ3nYpUgPiJptoDWVvsLQikyMy7SPU}\t"	[215, 38621.029]
"{1DUdUwPt6manYzETn9dVMjNurP8FwP3jLN}\t"	[1, 4284.96121769]
"{1DWSgZM5h5QjNu3Wn8HMUvHRoY3DFXNFBp}\t"	[2, 25757.6175]
"{1DX9rXcB2ykp5LRz5c88ZjPRswoYwbCRyU}\t"	[3, 5000.0]
"{1DZy1vjsHs1A6u4ARzTNc17RbTkaqXxs5k}\t"	[4, 4313.67896061]
"{1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9}\t"	[5, 5000.0]
"{1DbJ17DBMrBFjLD2DD2F6vod9yWF9dQ3Qv}\t"	[6, 7642.71]
"{1Dc9jSB5W7HgyrsNN8P4Uy2FbidfgL4bwD}\t"	[7, 6600.0]
"{1DdDkJPhNVhxd5vLXNFGdXbNQWhBuujnW5}\t"	[8, 4430.0]
"{1DdsRhZVX9tPHfswhg4pMQN3HzYBM5VZR2}\t"	[9, 4793.88931]
"{1DdweSoLAWH7x8b9yR2ttrVemBjjzwYGNM}\t"	[10, 4102.9757]
"{1DeZheoX2nRgPQWGLEnNyMGz4vx4EqDwKD}\t"	[11, 10000.0]
"{1DgBEE6bpqsxxVaJHMXmwm6dcReKZcQB24}\t"	[12, 5843.55923987]
"{1DimU5CppwbjBkF5KdnDnAb4oEqUDvkHNn}\t"	[13, 4751.39167529]
"{1DivCfRtaTYAzKk1BB6aWWqUMz6LT2sBYF}\t"	[14, 5000.0]
"{1DjfxK1WbCwKTMqsdLXavLHGEFpJxme5sq}\t"	[15, 45483.4949983]
"{1Dk1hYWseLQbwUtBG386xL9EM5oUj6EANX}\t"	[16, 4678.24208318]
"{1DkboeuyqGfhuntEHsBfmXcmdxGzzYsv2y}\t"	[17, 5764.74761523]
"{1Dkz6cSSsrc7pn9gesoG2kFSMw5QpMH3ZC}\t"	[18, 8000.0]
"{1Dmq4v21rUHwoxreEHQxGXiPn6jVF455xn}\t"	[19, 5439.41711488]
"{1DnryyWTngMPyRhWNvaEaY8LrKJdTjT2HD}\t"	[20, 4460.700203]
"{1Dnvwj3hAGSwFPMnkJZvi3KnaqksRPa74p}\t"	[21, 20654.35]
"{1DoAFVv3BUh7zEzKdDehzmqdzfBrXZVePZ}\t"	[22, 10000.0]
"{1Dqi9QfBHgeSEYh26eyFzftv4iy8L9D1No}\t"	[23, 4155.0]
"{1DrNCWkRK6gGymEPigJb7JFTLmYWpNESfP}\t"	[24, 4530.0]
